EDITION;ID;PERSON;TITLE;INTERNATIONAL TITLES;DIRECTOR/S;MAIN PRODUCTION COUNTRY;CO-PRODUCTION COUNTRY/IES;SECTION;PRIZE;NOTE
2023;91fa8487-0b4f-4210-b451-5afd93f64d74;;MANTAGHEYE BOHRANI;Critical Zone;Ali Ahmadzadeh;Iran;Germany;Concorso internazionale;Pardo d’oro;
2023;fd108487-1b18-4dc7-862a-959fe55cf9ab;;NU AȘTEPTA PREA MULT DE LA SFÂRȘITUL LUMII;Do Not Expect Too Much From the End of the World;Radu Jude;Romania;Luxembourg, France, Croatia;Concorso internazionale;Special Jury Prize of the Cities of Ascona and Losone;
2023;18800962-9f85-4a5e-9a8d-3225857f2312;;STEPNE;;Maryna Vroda;Ukraine;Germany, Poland, Slovakia;Concorso internazionale;Pardo for Best Direction of the City and Region of Locarno;
2023;3880c314-eb83-42b4-87d6-ecf48b45f61a;Dimitra Vlagopoulou;ANIMAL;;Sofia Exarchou;Greece;Austria, Romania, Cyprus, Bulgaria;Concorso internazionale;Pardo for Best Performance;
2023;d4f503f4-2f01-48d6-a586-bb957937d92e;Renée Soutendijk;SWEET DREAMS;;Ena Sendijarević;Netherlands;Sweden, Indonesia, Reunion;Concorso internazionale;Pardo for Best Performance;
2023;557fe56c-3b4f-4cbb-baee-6763ed3e19a3;;NUIT OBSCURE - AU REVOIR ICI, N'IMPORTE OÙ;;Sylvain George;France;Switzerland;Concorso internazionale;Special mention;
2023;725bd4d9-71b9-4442-a80e-5062ed5e7792;;HAO JIU BU JIAN;Dreaming & Dying;Nelson Yeo;Singapore;Indonesia;Concorso Cineasti del presente;Pardo d’oro Concorso Cineasti del presente;
2023;bf34e2ce-befa-43b9-8471-0599d5840523;;EIN SCHÖNER ORT;;Katharina Huber ;Germany;;Concorso Cineasti del presente;Best Emerging Director Award of the City and Region of Locarno;
2023;5ac1a016-36e4-4524-b2dc-0072dcf01d3a;;CAMPING DU LAC;;Éléonore Saintagnan;Belgium;France;Concorso Cineasti del presente;Special Jury Prize Ciné+;
2023;bf34e2ce-befa-43b9-8471-0599d5840523;Clara Schwinning;EIN SCHÖNER ORT;;Katharina Huber ;Germany;;Concorso Cineasti del presente;Pardo for Best Performance;
2023;2700649b-1cf3-42e4-88ca-35749427d55e;Isold Halldórudóttir,  Stavros Zafeiris;TOUCHED;;Claudia Rorarius;Germany;;Concorso Cineasti del presente;Pardo for Best Performance;
2023;3bbc99b5-34c6-4045-b792-905cb8b74313;;EKSKURZIJA;Excursion;Una Gunjak;Bosnia-Herzegovina;Croatia, Serbia, France, Norway, Qatar;Concorso Cineasti del presente;Special mention;
2023;bfc1536a-e989-467c-b22d-d06e4fbd5428;;NEGU HURBILAK;;Colectivo Negu;Spain;;Concorso Cineasti del presente;Special mention;
2023;725bd4d9-71b9-4442-a80e-5062ed5e7792;;HAO JIU BU JIAN;Dreaming & Dying;Nelson Yeo;Singapore;Indonesia;Concorso Cineasti del presente;Swatch First Feature Award;
2023;b1f70b9c-045b-4162-a8f4-8b6611478624;;ČUVARI FORMULE;Guardians of the Formula;Dragan Bjelogrlić;Serbia;Slovenia, Montenegro, North Macedonia;Piazza Grande;Pardo Verde Ricola;
2023;7a226cac-ae8d-4bb8-9495-cfdfbffb2e3c;;PROCIDA;;Film made by the participants of Procida Film Atelier;Italy;;Fuori concorso;Special mention;(Pardo Verde Ricola)
2023;d130f1d6-0c6d-4bf3-9978-b2f361114c3b;;VALLEY PRIDE;;Lukas Marxt;Austria;Germany;Pardi di domani: Concorso Corti d’autore;Special mention;(Pardo Verde Ricola)
2023;a6d51af8-ec01-42eb-a25f-6d24a3efcdc9;;THE PASSING;;Ivete Lucas, Patrick Bresnan;USA;;"Pardi di domani
Concorso Corti d'autore";Pardino d’oro Swiss Life for the Best Auteur Short;
2023;f3990680-4624-42a3-bef8-e3487ab9778a;;BEEN THERE;;Corina Schwingruber Ilić;Switzerland;;"Pardi di domani
Concorso Corti d'autore";Special mention & Short Film candidate of the Locarno Film Festival for the European Film Awards;
2023;f2ba00a7-ca26-476f-b49b-77548e47d718;;EN UNDERSØGELSE AF EMPATI;A Study of Empathy;Hilke Rönnfeldt;Denmark;Germany;"Pardi di domani
Concorso internazionale";Pardino d’oro SRG SSR for the Best International Short Film;
2023;0e8bcf47-548e-4ecd-831c-97ba1e1da836;;DU BIST SO WUNDERBAR;;Leandro Goddinho, Paulo Menezes;Germany, Brazil;;"Pardi di domani
Concorso internazionale";Pardino d’argento SRG SSR for the International Competition;
2023;08db04c7-5fdd-4e56-b9dd-7e4965dff658;;FAIRE UN ENFANT;;Eric K. Boulianne;Canada;;"Pardi di domani
Concorso internazionale";Pardi di domani Best Direction Award – BONALUMI Engineering;
2023;17c4a8ca-1ee7-440a-8979-cee7c301fc4d;;NEGAHBAN;The Guard;Amirhossein Shojaei;Iran;;"Pardi di domani
Concorso internazionale";Medien Patent Verwaltung AG Award;
